Nodes,Number of Distinct Directed Acyclic Graphs,Digits
2,3,2
3,25,2
4,543,3
5,29281,5
6,3781503,7
7,1138779265,10
8,783702329343,12
9,1213442454842881,16
10,4175098976430598143,19
11,31603459396418917607425,23
12,521939651343829405020504063,27
13,18676600744432035186664816926721,32
14,1439428141044398334941790719839535103,37
15,237725265553410354992180218286376719253505,42
16,83756670773733320287699303047996412235223138303,47
17,62707921196923889899446452602494921906963551482675201,53
18,99421195322159515895228914592354524516555026878588305014783,59
19,332771901227107591736177573311261125883583076258421902583546773505,66
20,2344880451051088988152559855229099188899081192234291298795803236068491263,73
